"places","lon","lat"
"Colorado Springs, CO, United States",-104.8213634,38.8338816
"Pine City, MN, United States",-92.9703435,45.8229105
"New Orleans, LA, United States",-90.0715323,29.9510658
"Shoshone, ID, United States",-114.4058752,42.9360165
"Brooklyn, NY, United States",-73.9441579,40.6781784
"Richmond, VA, United States",-77.4360481,37.5407246
"Joliet, IL, United States",-88.0817251,41.525031
"Sugarbush Township, MN, United States",-94.6161477,47.5331351
"Beaufort, SC, United States",-80.6698286,32.4315813
"Eagle Butte, SD, United States",-101.2224805,44.9886537
"Grangeville, ID, United States",-116.1223654,45.926552
"Lexington, NC, United States",-80.2533838,35.8240265
"Philadelphia, PA, United States",-75.1652215,39.9525839
"Exeter, NH, United States",-70.9477546,42.9814292
"Modesto, CA, United States",-120.9968782,37.6390972
"Upland, CA, United States",-117.6483876,34.09751
"Coconut Grove, FL, United States",-80.2377078,25.7307897
"Phoenix, AZ, United States",-112.0740373,33.4483771
"Newport News, VA, United States",-76.4730122,37.0870821
"Willow, AK, United States",-149.9910633,61.7697336
"Hamilton, MI, United States",-86.0019515,42.6673526
"Orangeburg, SC, United States",-80.8556476,33.4918203
"Fairfax, VA, United States",-77.3063733,38.8462236
"Myrtle Point, OR, United States",-124.138992,43.064832
"Fredericktown, MO, United States",-90.2940069,37.5597754
"Colquitt, GA, United States",-84.7332527,31.1712935
"Novi, MI, United States",-83.4754913,42.48059
"Bensalem, PA, United States",-74.9325683,40.0994425
"Chattanooga, TN, United States",-85.3096801,35.0456297
"Kosse, TX, United States",-96.6319231,31.3076774
"Gallup, NM, United States",-108.7425843,35.5280783
"Chelmsford, MA, United States",-71.3672838,42.5998139
"Union City, TN, United States",-89.0570096,36.4242303
"Oakland, CA, United States",-122.2711137,37.8043637
"Norman, OK, United States",-97.4394777,35.2225668
"Lebanon, IN, United States",-86.4691677,40.0483744
"San Francisco, CA, United States",-122.4194155,37.7749295
"Temecula, CA, United States",-117.1483648,33.4936391
"Auburn, CA, United States",-121.0768901,38.8965654
"Dallas, TX, United States",-96.7969879,32.7766642
"Norfolk, NE, United States",-97.4137553,42.0327234
"Tarentum, PA, United States",-79.7597709,40.6014555
"New York, NY, United States",-74.0059413,40.7127837
"Decatur, IL, United States",-88.9548001,39.8403147
"Boston, MA, United States",-71.0588801,42.3600825
"Stockton, CA, United States",-121.2907796,37.9577016
"Denver, CO, United States",-104.990251,39.7392358
"Fort Walton Beach, FL, United States",-86.6170308,30.4200708
"Media, PA, United States",-75.387693,39.9167783
"Cedaredge, CO, United States",-107.926454,38.9016487
"Watertown, NY, United States",-75.9107565,43.9747838
"Nampa, ID, United States",-116.5634624,43.5407172
"Sterling, AK, United States",-150.7647222,60.5372222
"Marion, IN, United States",-85.6591442,40.5583739
"Cocoa Beach, FL, United States",-80.6075513,28.3200067
"Lincoln City, OR, United States",-124.0178914,44.9581644
"Campbellsport, WI, United States",-88.2789873,43.5977728
"Salt Lake City, UT, United States",-111.8910474,40.7607793
"Temple, TX, United States",-97.342782,31.0982344
"Newton, NH, United States",-71.0345018,42.8695335
"Hayward, CA, United States",-122.0807964,37.6688205
